year_group,ks_level,topic_strand,sub_strand,statement
6,2,Number,Fractions,"add and subtract fractions with different denominators and mixed numbers, using the concept of equivalent fractions"
6,2,Number,Fractions,"multiply simple pairs of proper fractions, writing the answer in its simplest form × [Fraction:1/2] = [Fraction:1/8]]"
6,2,Number,Fractions,divide proper fractions by whole numbers ÷ 2 = [Fraction:1/6]]
6,2,Number,Fractions,associate a fraction with division and calculate decimal fraction equivalents for a simple fraction]
6,2,Number,Fractions,"identify the value of each digit in numbers given to 3 decimal places and multiply and divide numbers by 10, 100 and 1,000 giving answers up to 3 decimal places"
6,2,Number,Fractions,multiply one-digit numbers with up to 2 decimal places by whole numbers
6,2,Number,Fractions,use written division methods in cases where the answer has up to 2 decimal places
6,2,Number,Fractions,solve problems which require answers to be rounded to specified degrees of accuracy
6,2,Number,Fractions,"recall and use equivalences between simple fractions, decimals and percentages, including in different contexts"
6,2,Ratio,Ratio and Proportion,solve problems involving the relative sizes of 2 quantities where missing values can be found by using integer multiplication and division facts
6,2,Ratio,Ratio and Proportion,solve problems involving the calculation of percentages and the use of percentages for comparison
6,2,Ratio,Ratio and Proportion,solve problems involving similar shapes where the scale factor is known or can be found
6,2,Ratio,Ratio and Proportion,solve problems involving unequal sharing and grouping using knowledge of fractions and multiples
6,2,Algebra,Algebra,use simple formulae
6,2,Algebra,Algebra,generate and describe linear number sequences
6,2,Algebra,Algebra,express missing number problems algebraically
6,2,Algebra,Algebra,find pairs of numbers that satisfy an equation with 2 unknowns
6,2,Algebra,Algebra,enumerate possibilities of combinations of 2 variables
6,2,Geometry,Measurement,"solve problems involving the calculation and conversion of units of measure, using decimal notation up to 3 decimal places where appropriate"
6,2,Geometry,Measurement,"use, read, write and convert between standard units, converting measurements of length, mass, volume and time from a smaller unit of measure to a larger unit, and vice versa, using decimal notation to up to 3 decimal places"
6,2,Geometry,Measurement,convert between miles and kilometres
6,2,Geometry,Measurement,recognise that shapes with the same areas can have different perimeters and vice versa
6,2,Geometry,Measurement,recognise when it is possible to use formulae for area and volume of shapes
6,2,Geometry,Measurement,calculate the area of parallelograms and triangles
6,2,Geometry,Measurement,"calculate, estimate and compare volume of cubes and cuboids using standard units, including cubic centimetres (cm³) and cubic metres (m³), and extending to other units"
6,2,Geometry,properties of shapes,draw 2-D shapes using given dimensions and angles
6,2,Geometry,properties of shapes,"recognise, describe and build simple 3-D shapes, including making nets"
6,2,Geometry,properties of shapes,"compare and classify geometric shapes based on their properties and sizes and find unknown angles in any triangles, quadrilaterals, and regular polygons"
6,2,Geometry,properties of shapes,"illustrate and name parts of circles, including radius, diameter and circumference and know that the diameter is twice the radius"
6,2,Geometry,properties of shapes,"recognise angles where they meet at a point, are on a straight line, or are vertically opposite, and find missing angles"
